,Company,Job,Experience,Salary,Location,Skills
1098,SABIC,"Senior Manager , Data & Multiphysics",10-12 Yrs,N/A,Bengaluru/Bangalore,"Application development, Recruitment, EHS"
1099,Epiq Global,"Senior Software Engineer, Data Science",5-9 Yrs,N/A,"Pune, Hyderabad/Secunderabad","C++, Python, Product management"
1100,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1101,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1102,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1103,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1104,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1105,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1106,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1107,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1108,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1109,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1110,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1111,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1112,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1113,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1114,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1115,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1116,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1117,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1118,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1119,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1120,People Interactive (I) Pvt Ltd.,Senior Product Manager,5-10 Yrs,N/A,Mumbai,"Product management, Analytics, Product planning"
1121,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1122,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1123,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1124,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1125,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1126,People Interactive (I) Pvt Ltd.,Senior Product Manager,5-10 Yrs,N/A,Mumbai,"Product management, Analytics, Product planning"
1127,People Interactive (I) Pvt Ltd.,Product Manager,3-5 Yrs,₹ 18 - 24.1L/yr (AmbitionBox estimate),Mumbai,"SQL, Agile, Analytics"
1128,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1129,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1130,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1131,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1132,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1133,People Interactive (I) Pvt Ltd.,Senior Product Manager,5-10 Yrs,N/A,Mumbai,"Product management, Analytics, Product planning"
1134,People Interactive (I) Pvt Ltd.,Product Manager,3-5 Yrs,₹ 18 - 24.1L/yr (AmbitionBox estimate),Mumbai,"SQL, Agile, Analytics"
1135,Epiq Systems,Data Science Manager,5-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, python, natural language processing"
1136,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1137,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1138,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1139,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1140,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1141,People Interactive (I) Pvt Ltd.,Senior Product Manager,5-10 Yrs,N/A,Mumbai,"Product management, Analytics, Product planning"
1142,People Interactive (I) Pvt Ltd.,Product Manager,3-5 Yrs,₹ 18 - 24.1L/yr (AmbitionBox estimate),Mumbai,"SQL, Agile, Analytics"
1143,Epiq Systems,Data Science Manager,5-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, python, natural language processing"
1144,3i Infotech,Data Science Services Delivery Manager/Lead,8-13 Yrs,N/A,Chennai,"data science, service delivery, machine learning"
1145,QA InfoTech Pvt. Ltd,Test Engineer,3-4 Yrs,N/A,Bengaluru/Bangalore,"Automation, Python, Selenium"
1146,EXL Services.com ( I ) Pvt. Ltd.,Lead Assistant Manager,5-7 Yrs,₹ 11 - 22L/yr (AmbitionBox estimate),Chennai,"MIS, Healthcare, Analytics"
1147,Epiqsystems India Private Limited,"Senior Software Engineer, Data Science",5-10 Yrs,N/A,Hyderabad/Secunderabad,"deep learning, c++, django"
1148,Tredence,Product Engineering Manager - Data Science Platform (10-15 yrs),10-15 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram","Engineering Management, IT Product Architecture, Node.js"
1149,Epiq Systems,QA Engineer - Data Science,2-7 Yrs,N/A,Hyderabad/Secunderabad,"QA, QA Testing, Software Testing"
1150,People Interactive (I) Pvt Ltd.,Senior Product Manager,5-10 Yrs,N/A,Mumbai,"Product management, Analytics, Product planning"
1151,People Interactive (I) Pvt Ltd.,Product Manager,3-5 Yrs,₹ 18 - 24.1L/yr (AmbitionBox estimate),Mumbai,"SQL, Agile, Analytics"
1152,Epiq Systems,Data Science Manager,5-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, python, natural language processing"
1153,3i Infotech,Data Science Services Delivery Manager/Lead,8-13 Yrs,N/A,Chennai,"data science, service delivery, machine learning"
1154,Havells India Limited,Havells - Artificial Intelligence/Machine Learning Lead - Python (2-10 yrs),2-10 Yrs,N/A,N/A,N/A
1155,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1156,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1157,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1158,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1159,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1160,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1161,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1162,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1163,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1164,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1165,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1166,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1167,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1168,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1169,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1170,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1171,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1172,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1173,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1174,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1175,TO THE NEW Pvt Ltd,Data Science - Associate Team Lead,5-8 Yrs,N/A,Noida,"Natural Language Processing, Cloud, Cicd Pipeline"
1176,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1177,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1178,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1179,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1180,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1181,TO THE NEW Pvt Ltd,Data Science - Associate Team Lead,5-8 Yrs,N/A,Noida,"Natural Language Processing, Cloud, Cicd Pipeline"
1182,NEC Software Solutions (India),"Software Engineer - Data Science, Tableau, MS SQL, Python, AWS",5-10 Yrs,N/A,Mumbai,"Python, MS SQL, microsoft"
1183,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1184,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1185,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1186,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1187,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1188,TO THE NEW Pvt Ltd,Data Science - Associate Team Lead,5-8 Yrs,N/A,Noida,"Natural Language Processing, Cloud, Cicd Pipeline"
1189,NEC Software Solutions (India),"Software Engineer - Data Science, Tableau, MS SQL, Python, AWS",5-10 Yrs,N/A,Mumbai,"Python, MS SQL, microsoft"
1190,VC ERP Consulting,Python Developer,2-7 Yrs,N/A,Ahmedabad,"web scraping, excel, automation"
1191,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1192,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1193,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1194,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1195,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1196,TO THE NEW Pvt Ltd,Data Science - Associate Team Lead,5-8 Yrs,N/A,Noida,"Natural Language Processing, Cloud, Cicd Pipeline"
1197,NEC Software Solutions (India),"Software Engineer - Data Science, Tableau, MS SQL, Python, AWS",5-10 Yrs,N/A,Mumbai,"Python, MS SQL, microsoft"
1198,VC ERP Consulting,Python Developer,2-7 Yrs,N/A,Ahmedabad,"web scraping, excel, automation"
1199,Amadeus Software Labs India Pvt Ltd,Lead Principal Engineer,12-14 Yrs,N/A,Bengaluru/Bangalore,"Engineering Manager, C++, Principal"
1200,Zscaler Softech,"Staff Engineer(Python,Spark,Delta Lake,GraphDB,Machine Learning)",8-13 Yrs,N/A,Hyderabad/Secunderabad,"Pytorch, python, data science"
1201,Quess corp,Data Scientist - Python/Machine Learning (2-8 yrs),2-8 Yrs,N/A,"Noida, Gurgaon/Gurugram","Data Scientist, Data Science, Machine Learning"
1202,IMERIT TECHNOLOGY SERVICES PRIVATE LIMITED,iMerit - Lead - Data Engineering (8-12 yrs),8-12 Yrs,N/A,Bengaluru/Bangalore,"Big Data, Data Architect, Spark"
1203,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Data Scientist,5-8 Yrs,N/A,Hyderabad/Secunderabad,"SQL, HTML, Python"
1204,WAKEFIT INNOVATIONS PRIVATE LIMITED,Wakefit - Data Scientist/Manager - Machine Learning/Artificial Intelligence (6-9 yrs),6-9 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Quantitative Analytics"
1205,TO THE NEW Pvt Ltd,Data Science - Associate Team Lead,5-8 Yrs,N/A,Noida,"Natural Language Processing, Cloud, Cicd Pipeline"
1206,NEC Software Solutions (India),"Software Engineer - Data Science, Tableau, MS SQL, Python, AWS",5-10 Yrs,N/A,Mumbai,"Python, MS SQL, microsoft"
1207,VC ERP Consulting,Python Developer,2-7 Yrs,N/A,Ahmedabad,"web scraping, excel, automation"
1208,Amadeus Software Labs India Pvt Ltd,Lead Principal Engineer,12-14 Yrs,N/A,Bengaluru/Bangalore,"Engineering Manager, C++, Principal"
1209,3i Infotech,Services Delivery Head - Data Science,12-18 Yrs,N/A,"Chennai, Bengaluru/Bangalore, Mumbai","Data Science, service delivery, statistical modeling"
1210,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1211,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1212,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1213,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1214,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1215,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1216,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1217,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1218,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1219,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1220,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1221,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1222,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1223,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1224,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1225,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1226,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1227,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1228,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1229,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1230,Lenskart,Digital Analytics - COE Analytics,2-4 Yrs,N/A,Gurgaon/Gurugram,"data science, Customer service, SQL"
1231,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1232,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1233,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1234,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1235,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1236,Lenskart,Digital Analytics - COE Analytics,2-4 Yrs,N/A,Gurgaon/Gurugram,"data science, Customer service, SQL"
1237,Ignitee Digital Solutions Pvt Ltd,Associate Technical Lead - Data Science,6-8 Yrs,₹ 12.75 - 28L/yr (AmbitionBox estimate),Noida,"Telecom, Bfsi, Logistic regression"
1238,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1239,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1240,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1241,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1242,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1243,Lenskart,Digital Analytics - COE Analytics,2-4 Yrs,N/A,Gurgaon/Gurugram,"data science, Customer service, SQL"
1244,Ignitee Digital Solutions Pvt Ltd,Associate Technical Lead - Data Science,6-8 Yrs,₹ 12.75 - 28L/yr (AmbitionBox estimate),Noida,"Telecom, Bfsi, Logistic regression"
1245,Fractal Analytics,Senior Data Scientist,5-10 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Mumbai","Data Science, regression, Time Series Analysis"
1246,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1247,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1248,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1249,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1250,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1251,Lenskart,Digital Analytics - COE Analytics,2-4 Yrs,N/A,Gurgaon/Gurugram,"data science, Customer service, SQL"
1252,Ignitee Digital Solutions Pvt Ltd,Associate Technical Lead - Data Science,6-8 Yrs,₹ 12.75 - 28L/yr (AmbitionBox estimate),Noida,"Telecom, Bfsi, Logistic regression"
1253,Fractal Analytics,Senior Data Scientist,5-10 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Mumbai","Data Science, regression, Time Series Analysis"
1254,Cambridge Technology Enterprises,Cambridge Technology Enterprises - Senior Engineer/Lead - Data Science (4-15 yrs),4-15 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Statistical Modeling"
1255,Motorola Solutions India Private Ltd,Configuration Data Specialist,2-7 Yrs,N/A,Bengaluru/Bangalore,"Data analysis, Data management, MySQL"
1256,HealthPlix Technologies Pvt Ltd,HealthPlix Technologies - Data Analyst (2-3 yrs),2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Analytics, Analytics, Data Science"
1257,Cignex Technologies Private Limited,AI-ML Developer,3-8 Yrs,N/A,"Pune, Mumbai, Ahmedabad
													+2 more","python, NLP, data science"
1258,BMC Software,Data Scientist,3-8 Yrs,N/A,Pune,"data science, SQL, CRM"
1259,Tata Communications Ltd,Assistant Manager Data Science & Analytics,4-7 Yrs,N/A,Bengaluru/Bangalore,"Python, Application development, Coding"
1260,Lenskart,Digital Analytics - COE Analytics,2-4 Yrs,N/A,Gurgaon/Gurugram,"data science, Customer service, SQL"
1261,Ignitee Digital Solutions Pvt Ltd,Associate Technical Lead - Data Science,6-8 Yrs,₹ 12.75 - 28L/yr (AmbitionBox estimate),Noida,"Telecom, Bfsi, Logistic regression"
1262,Fractal Analytics,Senior Data Scientist,5-10 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Mumbai","Data Science, regression, Time Series Analysis"
1263,Cambridge Technology Enterprises,Cambridge Technology Enterprises - Senior Engineer/Lead - Data Science (4-15 yrs),4-15 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Statistical Modeling"
1264,Koenig Solutions Ltd.,Corporate Trainer - Machine Learning,4-10 Yrs,N/A,Gurgaon/Gurugram,"Machine learning, Data analytics, data science"
1265,Tredence Analytics Solutions Private Limited,Tredence Inc. - Analytics Manager - R/SQL/Python (7-11 yrs),7-11 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Chennai
													+1 more","Analytics, R, SQL"
1266,Tredence Analytics Solutions Private Limited,Tredence Inc. - Analytics Manager - R/SQL/Python (7-11 yrs),7-11 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Chennai
													+1 more","Analytics, R, SQL"
1267,Integra Software Services,Sr. Developer - AI ML,2-5 Yrs,N/A,"Chennai, Puducherry/Pondicherry","Data Science, natural language processing, Aiml"
1268,Tredence Analytics Solutions Private Limited,Tredence Inc. - Analytics Manager - R/SQL/Python (7-11 yrs),7-11 Yrs,N/A,"Bengaluru/Bangalore, Gurgaon/Gurugram, Chennai
													+1 more","Analytics, R, SQL"
1269,Integra Software Services,Sr. Developer - AI ML,2-5 Yrs,N/A,"Chennai, Puducherry/Pondicherry","Data Science, natural language processing, Aiml"
1270,Coursera,Senior Product Designer,5-6 Yrs,N/A,"Chennai, Pune, New Delhi
													+4 more","Product design, Computer science, Android"
